,i=1,i=2,i=3,i=4,i=5,i=6,i=7,i=8,i=9,i=10,i=11,i=12,i=13,i=14,i=15,i=16,i=17,i=18,i=19,i=20,i=21,i=22,i=23,i=24,i=25,i=26,i=27,i=28,i=29,i=30,i=31,i=32,i=33,i=34,i=35,i=36,i=37,i=38,i=39,i=40,i=41,i=42,i=43,i=44,i=45,i=46,i=47,i=48,i=49,i=50,i=51,i=52,i=53,i=54,i=55,i=56,i=57,i=58,i=59,i=60,i=61,i=62,i=63,i=64,i=65,i=66,i=67,i=68,i=69,i=70,i=71,i=72,i=73,i=74,i=75,i=76,i=77,i=78,i=79,i=80,i=81,i=82,i=83,i=84,i=85,i=86,i=87,i=88,i=89,i=90,i=91,i=92,i=93,i=94,i=95,i=96,i=97,i=98,i=99,i=100,i=101,i=102,i=103,i=104,i=105,i=106,i=107,i=108,i=109,i=110
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
3,6.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0
4,6.75,6.75,2.25,6.75,4.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
5,7.200000000000001,7.200000000000001,3.6000000000000005,3.6000000000000005,5.3999999999999995,1.8000000000000003,1.8000000000000003,1.8000000000000003,1.8000000000000003,1.8000000000000003,1.8000000000000003,1.8000000000000003,1.8000000000000003,0.0,1.8000000000000003,1.8000000000000003,1.8000000000000003,1.8000000000000003,0.0,0.0,0.0,1.8000000000000003,0.0,0.0,0.0,1.8000000000000003,0.0,0.0,0.0,1.8000000000000003,1.8000000000000003,0.0,0.0,1.8000000000000003,1.8000000000000003,0.0,1.8000000000000003,0.0,0.0,0.0,1.8000000000000003,0.0,1.8000000000000003,0.0,0.0,0.0,0.0,1.8000000000000003,0.0,1.8000000000000003,1.8000000000000003,1.8000000000000003,1.8000000000000003,1.8000000000000003,0.0,0.0,1.8000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,1.8000000000000003,0.0,0.0,1.8000000000000003,0.0,0.0,0.0,1.8000000000000003,0.0,0.0,1.8000000000000003,0.0,1.8000000000000003,0.0,0.0,0.0,1.8000000000000003,0.0,0.0,0.0,0.0,1.8000000000000003,0.0,1.8000000000000003,0.0,0.0,1.8000000000000003,0.0,0.0,1.8000000000000003,1.8000000000000003,1.8000000000000003,1.8000000000000003,0.0,1.8000000000000003,1.8000000000000003,1.8000000000000003,0.0,1.8000000000000003,0.0,0.0,1.8000000000000003,1.8000000000000003,0.0,0.0,1.8000000000000003,0.0
6,7.5,6.0,4.5,3.0,3.0,4.5,3.0,3.0,3.0,3.0,4.5,4.5,4.5,1.5,3.0,3.0,0.0,1.5,3.0,1.5,1.5,3.0,1.5,3.0,3.0,1.5,4.5,1.5,3.0,1.5,3.0,3.0,1.5,3.0,1.5,3.0,3.0,3.0,3.0,1.5,3.0,3.0,3.0,3.0,3.0,3.0,4.5,1.5,1.5,3.0,3.0,1.5,3.0,3.0,1.5,1.5,1.5,0.0,4.5,3.0,3.0,4.5,1.5,4.5,0.0,1.5,3.0,3.0,1.5,4.5,3.0,4.5,3.0,3.0,3.0,3.0,1.5,3.0,4.5,4.5,3.0,4.5,3.0,3.0,1.5,1.5,3.0,3.0,4.5,3.0,3.0,3.0,3.0,3.0,3.0,4.5,3.0,3.0,3.0,3.0,1.5,1.5,3.0,4.5,4.5,4.5,3.0,1.5,3.0,1.5
7,7.7142857142857135,5.142857142857142,3.8571428571428568,2.571428571428571,3.8571428571428568,2.571428571428571,2.571428571428571,2.571428571428571,1.2857142857142856,1.2857142857142856,2.571428571428571,1.2857142857142856,2.571428571428571,2.571428571428571,3.8571428571428568,1.2857142857142856,1.2857142857142856,1.2857142857142856,1.2857142857142856,0.0,1.2857142857142856,1.2857142857142856,1.2857142857142856,1.2857142857142856,1.2857142857142856,2.571428571428571,2.571428571428571,1.2857142857142856,3.8571428571428568,2.571428571428571,1.2857142857142856,1.2857142857142856,2.571428571428571,2.571428571428571,1.2857142857142856,1.2857142857142856,2.571428571428571,0.0,2.571428571428571,1.2857142857142856,1.2857142857142856,1.2857142857142856,3.8571428571428568,1.2857142857142856,1.2857142857142856,3.8571428571428568,2.571428571428571,1.2857142857142856,1.2857142857142856,1.2857142857142856,1.2857142857142856,2.571428571428571,2.571428571428571,1.2857142857142856,0.0,2.571428571428571,3.8571428571428568,0.0,2.571428571428571,2.571428571428571,1.2857142857142856,1.2857142857142856,2.571428571428571,1.2857142857142856,1.2857142857142856,2.571428571428571,2.571428571428571,2.571428571428571,2.571428571428571,2.571428571428571,2.571428571428571,2.571428571428571,0.0,2.571428571428571,0.0,2.571428571428571,2.571428571428571,1.2857142857142856,1.2857142857142856,2.571428571428571,2.571428571428571,1.2857142857142856,0.0,2.571428571428571,0.0,1.2857142857142856,1.2857142857142856,2.571428571428571,1.2857142857142856,2.571428571428571,2.571428571428571,1.2857142857142856,2.571428571428571,2.571428571428571,2.571428571428571,1.2857142857142856,1.2857142857142856,1.2857142857142856,1.2857142857142856,3.8571428571428568,1.2857142857142856,3.8571428571428568,1.2857142857142856,1.2857142857142856,1.2857142857142856,2.571428571428571,1.2857142857142856,2.571428571428571,2.571428571428571,2.571428571428571
8,9.0,6.75,5.625,4.5,2.25,2.25,1.125,2.25,2.25,2.25,1.125,2.25,1.125,2.25,2.25,2.25,2.25,3.375,1.125,1.125,1.125,2.25,2.25,3.375,3.375,2.25,2.25,2.25,1.125,3.375,2.25,2.25,1.125,2.25,1.125,1.125,3.375,1.125,1.125,4.5,1.125,2.25,1.125,1.125,1.125,1.125,3.375,3.375,2.25,0.0,2.25,2.25,2.25,0.0,1.125,3.375,2.25,1.125,2.25,3.375,3.375,1.125,3.375,1.125,2.25,2.25,3.375,2.25,1.125,2.25,2.25,2.25,2.25,2.25,3.375,1.125,3.375,2.25,2.25,3.375,1.125,2.25,1.125,3.375,3.375,1.125,2.25,3.375,2.25,2.25,2.25,2.25,2.25,3.375,2.25,1.125,2.25,3.375,1.125,0.0,2.25,2.25,2.25,2.25,0.0,2.25,3.375,2.25,2.25,2.25
9,8.0,6.0,5.0,4.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0
10,6.299999999999999,5.3999999999999995,5.3999999999999995,3.6000000000000005,1.8000000000000003,4.5,2.6999999999999997,2.6999999999999997,1.8000000000000003,3.6000000000000005,1.8000000000000003,0.9000000000000001,1.8000000000000003,3.6000000000000005,1.8000000000000003,2.6999999999999997,1.8000000000000003,1.8000000000000003,1.8000000000000003,1.8000000000000003,1.8000000000000003,0.9000000000000001,2.6999999999999997,0.9000000000000001,2.6999999999999997,2.6999999999999997,1.8000000000000003,1.8000000000000003,2.6999999999999997,1.8000000000000003,1.8000000000000003,2.6999999999999997,3.6000000000000005,0.9000000000000001,0.9000000000000001,1.8000000000000003,1.8000000000000003,0.9000000000000001,1.8000000000000003,2.6999999999999997,2.6999999999999997,1.8000000000000003,1.8000000000000003,1.8000000000000003,0.9000000000000001,2.6999999999999997,0.9000000000000001,2.6999999999999997,2.6999999999999997,1.8000000000000003,1.8000000000000003,2.6999999999999997,1.8000000000000003,2.6999999999999997,1.8000000000000003,1.8000000000000003,2.6999999999999997,1.8000000000000003,1.8000000000000003,1.8000000000000003,0.9000000000000001,0.9000000000000001,0.9000000000000001,1.8000000000000003,0.9000000000000001,1.8000000000000003,0.9000000000000001,1.8000000000000003,0.9000000000000001,1.8000000000000003,1.8000000000000003,0.9000000000000001,1.8000000000000003,2.6999999999999997,0.9000000000000001,1.8000000000000003,3.6000000000000005,1.8000000000000003,2.6999999999999997,0.0,1.8000000000000003,1.8000000000000003,0.9000000000000001,1.8000000000000003,1.8000000000000003,1.8000000000000003,1.8000000000000003,2.6999999999999997,1.8000000000000003,2.6999999999999997,1.8000000000000003,1.8000000000000003,1.8000000000000003,1.8000000000000003,1.8000000000000003,1.8000000000000003,2.6999999999999997,1.8000000000000003,0.9000000000000001,2.6999999999999997,2.6999999999999997,1.8000000000000003,2.6999999999999997,2.6999999999999997,2.6999999999999997,1.8000000000000003,1.8000000000000003,0.9000000000000001,0.9000000000000001,1.8000000000000003
